Time,X Velocity,Y Velocity,Z Velocity,X Position,Y Position,Z Position,Roll,Yaw,Pitch,X Angular Velocity,Y Angular Velocity,Z Angular Velocity,X Force Applied,Y Force Applied,Z Force Applied
0.001226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.002508,-0.000017,0.000242,0.000023,0.0,0.0,0.0,0.0,0.0,0.0,-0.000233,0.000021,-0.00002,0.0,1.0,0.0
0.003791,-0.000023,0.000282,0.000022,0.0,0.0,0.0,0.0,0.0,0.0,-0.000264,0.000018,-0.000024,0.0,1.0,0.0
0.005074,-0.000024,0.00029,0.000023,0.0,0.0,0.0,0.0,0.0,0.0,-0.000272,0.000018,-0.000025,0.0,1.0,0.0
0.006356,-0.000025,0.000291,0.000023,0.0,0.0,0.0,0.0,0.0,0.0,-0.000273,0.000018,-0.000025,0.0,1.0,0.0
0.007615,0.000147,-0.000275,0.000045,0.0,0.0,0.0,0.0,0.0,0.0,0.000263,0.000153,0.000043,0.0,1.0,0.0
0.008873,-0.000018,0.000091,-0.001248,0.0,0.0,0.0,0.0,0.0,0.0,0.000196,0.000145,-0.0001,0.0,1.0,0.0
0.010132,0.000031,-0.001182,0.000063,0.0,0.0,0.0,0.0,0.0,0.0,0.001022,-0.000103,0.000094,0.0,1.0,0.0
0.011391,0.000003,0.000016,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.000013,0.000004,-0.000001,0.0,1.0,0.0
0.012649,-0.000017,0.000237,0.000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.000221,0.000017,-0.00002,0.0,1.0,0.0
0.013908,-0.000023,0.000277,0.000022,0.0,0.0,0.0,0.0,0.0,0.0,-0.000259,0.000018,-0.000024,0.0,1.0,0.0
0.015166,-0.000987,0.000267,-0.00046,0.0,0.0,0.0,0.0,0.0,0.0,-0.000321,-0.001023,-0.000056,0.0,1.0,0.0
0.016425,-0.000106,-0.001198,0.000083,0.0,0.0,0.0,0.0,0.0,0.0,0.000989,-0.000218,0.000095,0.0,1.0,0.0
0.017683,0.002493,-0.000048,-0.000718,0.0,0.0,0.0,0.0,0.0,0.0,0.000715,0.002556,-0.000031,0.0,1.0,0.0
0.018942,-0.00124,0.000322,-0.000084,0.0,0.0,0.0,0.0,0.0,0.0,-0.000509,-0.001095,-0.000049,0.0,1.0,0.0
0.0202,-0.000194,0.000231,0.000045,0.0,0.0,0.0,0.0,0.0,0.0,-0.000277,-0.000129,-0.000021,0.0,1.0,0.0
0.021459,-0.000047,0.000267,0.000025,0.0,0.0,0.0,0.0,0.0,0.0,-0.000259,-0.000004,-0.000023,0.0,1.0,0.0
0.022718,-0.000819,-0.000297,-0.000437,0.0,0.0,0.0,0.0,0.0,0.0,0.000213,-0.00089,0.000011,0.0,1.0,0.0
0.023976,-0.000127,0.000137,0.000029,0.0,0.0,0.0,0.0,0.0,0.0,-0.000169,-0.000087,-0.000012,0.0,1.0,0.0
0.025235,-0.000037,0.000253,0.000022,0.0,0.0,0.0,0.0,0.0,0.0,-0.000242,0.000003,-0.000022,0.0,1.0,0.0
0.026531,0.000818,-0.002029,-0.000669,0.0,0.0,0.0,0.0,0.0,0.0,0.002063,0.000775,0.000084,0.0,1.0,0.0
0.027827,-0.000529,0.000189,-0.000492,0.0,0.0,0.0,0.0,0.0,0.0,-0.000111,-0.000543,-0.000004,0.0,1.0,0.0
0.029124,-0.000094,0.000249,0.000031,0.0,0.0,0.0,0.0,0.0,0.0,-0.000259,-0.000044,-0.000022,0.0,1.0,0.0
0.03042,-0.000034,0.000282,0.000024,0.0,0.0,0.0,0.0,0.0,0.0,-0.000268,0.000009,-0.000024,0.0,1.0,0.0
0.031716,-0.000026,0.000291,0.000023,0.0,0.0,0.0,0.0,0.0,0.0,-0.000274,0.000017,-0.000025,0.0,1.0,0.0
0.033013,-0.000025,0.000294,0.000023,0.0,0.0,0.0,0.0,0.0,0.0,-0.000275,0.000018,-0.000025,0.0,1.0,0.0
0.034309,0.000769,-0.000631,-0.000711,0.0,0.0,0.0,0.0,0.0,0.0,0.000836,0.000893,-0.000029,0.0,1.0,0.0
0.035605,0.000099,0.000163,-0.000005,0.0,0.0,0.0,0.0,0.0,0.0,-0.000114,0.000102,-0.000013,0.0,1.0,0.0
0.036902,-0.000774,-0.000285,-0.000427,0.0,0.0,0.0,0.0,0.0,0.0,0.000211,-0.000847,0.000011,0.0,1.0,0.0
0.038198,-0.000122,0.000149,0.000029,0.0,0.0,0.0,0.0,0.0,0.0,-0.000177,-0.000081,-0.000013,0.0,1.0,0.0
0.039494,0.001489,0.00029,0.000077,0.0,0.0,0.0,0.0,0.0,0.0,0.000045,0.001377,-0.000002,0.0,1.0,0.0
0.040791,0.000981,-0.000555,-0.000739,0.0,0.0,0.0,0.0,0.0,0.0,0.00084,0.001076,-0.000034,0.0,1.0,0.0
0.042087,-0.001398,0.000159,-0.000062,0.0,0.0,0.0,0.0,0.0,0.0,-0.000422,-0.001243,-0.000036,0.0,1.0,0.0
0.043374,-0.000989,-0.000367,-0.000403,0.0,0.0,0.0,0.0,0.0,0.0,0.000212,-0.001035,0.000017,0.0,1.0,0.0
0.044661,-0.000151,0.000121,0.000031,0.0,0.0,0.0,0.0,0.0,0.0,-0.000162,-0.000108,-0.000011,0.0,1.0,0.0
0.045949,0.001496,0.000282,0.000077,0.0,0.0,0.0,0.0,0.0,0.0,0.000054,0.001383,-0.000001,0.0,1.0,0.0
0.047236,0.000188,0.000367,-0.000005,0.0,0.0,0.0,0.0,0.0,0.0,-0.000269,0.000203,-0.00003,0.0,1.0,0.0
0.048523,0.000004,0.000317,0.00002,0.0,0.0,0.0,0.0,0.0,0.0,-0.000287,0.000045,-0.000027,0.0,1.0,0.0
0.04981,0.000029,-0.001102,0.000065,0.0,0.0,0.0,0.0,0.0,0.0,0.00095,-0.000094,0.000088,0.0,1.0,0.0
0.051097,-0.000024,-0.000061,-0.001229,0.0,0.0,0.0,0.0,0.0,0.0,0.000326,0.000117,-0.000085,0.0,1.0,0.0
0.052384,-0.000019,0.000227,0.000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.000213,0.000014,-0.000019,0.0,1.0,0.0
