Time,X Velocity,Y Velocity,Z Velocity,X Position,Y Position,Z Position,Roll,Yaw,Pitch,X Angular Velocity,Y Angular Velocity,Z Angular Velocity
0.002473,0.000001,0.0,0.000002,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.000002,-0.0
0.01914,0.000001,0.0,0.000002,0.0,0.0,0.0,0.0,0.0,0.0,-0.000001,0.000001,-0.0
0.035807,0.000001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000001,0.000001,-0.0
0.052475,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.000001,-0.0
0.069142,0.000001,0.0,0.000002,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.000002,-0.0
0.08581,0.000001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000001,-0.0
0.102477,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000001,0.000001,-0.0
0.119144,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.135811,0.000001,-0.0,0.000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000001,-0.0
0.152478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.169145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.185812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.202479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.219146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.235814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.252481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.269149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.285816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.302483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
